name,id,smi,graph_dfs,linear_encoding,is_molecule,is_product,mod_mol,img,rdkit_mol,rdkit_svg,indigo_mol,indigo_svg,MolWt,LogP,MR,TPSA,# H acceptors,# H donors,# Rotatable bonds,# Atoms,# Bonds,# C atoms,# O atoms,# H atoms,# Atoms (no H),# Bonds (no H)
"p_{0,9}",77,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],False,True,'g_{727}',images/mod_mol14.svg,,,,,,,,,,,,19,18,6,2,9,,
"p_{0,10}",94,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C](=[O])[C]([H])([H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C](=[O])[C]([H])([H])[H],False,True,'g_{728}',images/mod_mol15.svg,,,,,,,,,,,,20,19,6,3,9,,
"p_{0,11}",95,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],False,True,'g_{729}',images/mod_mol16.svg,,,,,,,,,,,,22,21,6,3,11,,
"p_{0,12}",96,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])=[C]([H])[C]([H])([H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])=[C]([H])[C]([H])([H])[H],False,True,'g_{730}',images/mod_mol17.svg,,,,,,,,,,,,19,18,6,2,9,,
"p_{0,13}",97,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],False,True,'g_{731}',images/mod_mol18.svg,,,,,,,,,,,,21,20,6,2,11,,
"p_{0,14}",102,,[H][C](=[C]([H])[C]([S][AG])=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[H],[H][C](=[C]([H])[C]([S][AG])=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[H],False,True,'g_{732}',images/mod_mol19.svg,,,,,,,,,,,,17,16,6,2,7,,
"p_{0,15}",106,,[H][C](=[C]([H])[C]([S][AG])=[O])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],[H][C](=[C]([H])[C]([S][AG])=[O])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],False,True,'g_{733}',images/mod_mol20.svg,,,,,,,,,,,,19,18,6,2,9,,
"p_{0,16}",110,,[H][C](=[C]([H])[C]([S][AG])=[O])[C]([H])=[C]([H])[C]([H])([H])[H],[H][C](=[C]([H])[C]([S][AG])=[O])[C]([H])=[C]([H])[C]([H])([H])[H],False,True,'g_{734}',images/mod_mol21.svg,,,,,,,,,,,,16,15,6,1,7,,
"p_{0,17}",114,,[H][C](=[C]([H])[C]([S][AG])=[O])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],[H][C](=[C]([H])[C]([S][AG])=[O])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],False,True,'g_{735}',images/mod_mol22.svg,,,,,,,,,,,,18,17,6,1,9,,
"p_{0,18}",118,,[H][C]([H])([C]([H])([C]([S][AG])=[O])[H])[C]([H])([H])[C](=[O])[C]([H])([H])[H],[H][C]([H])([C]([H])([C]([S][AG])=[O])[H])[C]([H])([H])[C](=[O])[C]([H])([H])[H],False,True,'g_{736}',images/mod_mol23.svg,,,,,,,,,,,,19,18,6,2,9,,
"p_{0,19}",119,,[H][C]([H])([C]([H])([C]([S][AG])=[O])[H])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],[H][C]([H])([C]([H])([C]([S][AG])=[O])[H])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],False,True,'g_{737}',images/mod_mol24.svg,,,,,,,,,,,,21,20,6,2,11,,
"p_{0,20}",120,,[H][C]([H])([C]([H])([C]([S][AG])=[O])[H])[C]([H])=[C]([H])[C]([H])([H])[H],[H][C]([H])([C]([H])([C]([S][AG])=[O])[H])[C]([H])=[C]([H])[C]([H])([H])[H],False,True,'g_{738}',images/mod_mol25.svg,,,,,,,,,,,,18,17,6,1,9,,
"p_{0,21}",121,,[H][C]([H])([C]([H])([C]([S][AG])=[O])[H])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],[H][C]([H])([C]([H])([C]([S][AG])=[O])[H])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],False,True,'g_{739}',images/mod_mol26.svg,,,,,,,,,,,,20,19,6,1,11,,
