name,id,smi,graph_dfs,linear_encoding,is_molecule,is_product,mod_mol,img
"p_{1,7}",158,,[H][O][C]([C]([O][C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H],[H][O][C]([C]([O][C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H],False,True,'g_{216}',images/mod_mol13.svg
"p_{1,8}",161,,[H][C](=[C]([O][C]([H])([H])[H])[C]([S][AG])=[O])[C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H],[H][C](=[C]([O][C]([H])([H])[H])[C]([S][AG])=[O])[C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H],False,True,'g_{217}',images/mod_mol14.svg
"p_{1,9}",162,,[H][C]([O][C]([H])([H])[H])([C]([S][AG])=[O])[C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H],[H][C]([O][C]([H])([H])[H])([C]([S][AG])=[O])[C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H],False,True,'g_{218}',images/mod_mol15.svg
"p_{1,10}",165,,[C]([S][AG])(=[O])[C]([C]([H])([H])[H])([H])[C](=[O])[C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H],[C]([S][AG])(=[O])[C]([C]([H])([H])[H])([H])[C](=[O])[C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H],False,True,'g_{219}',images/mod_mol16.svg
"p_{1,11}",167,,[H][O][C]([C]([C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],[H][O][C]([C]([C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],False,True,'g_{220}',images/mod_mol17.svg
"p_{1,12}",170,,[C]([S][AG])(=[O])[C]([C]([H])([H])[H])([H])[C](=[O])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],[C]([S][AG])(=[O])[C]([C]([H])([H])[H])([H])[C](=[O])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],False,True,'g_{221}',images/mod_mol18.svg
"p_{1,13}",172,,[H][O][C]([C]([C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H])[H],[H][O][C]([C]([C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H])[H],False,True,'g_{222}',images/mod_mol19.svg
"p_{1,14}",175,,[H][C](=[C]([C]([H])([H])[H])[C]([S][AG])=[O])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],[H][C](=[C]([C]([H])([H])[H])[C]([S][AG])=[O])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],False,True,'g_{223}',images/mod_mol20.svg
"p_{1,15}",177,,[C]([S][AG])(=[O])[C]([O][C]([H])([H])[H])([H])[C](=[O])[C]([C]([H])([H])[H])=[C]([H])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],[C]([S][AG])(=[O])[C]([O][C]([H])([H])[H])([H])[C](=[O])[C]([C]([H])([H])[H])=[C]([H])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],False,True,'g_{224}',images/mod_mol21.svg
"p_{1,16}",179,,[H][O][C]([C]([O][C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([C]([H])([H])[H])=[C]([H])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H])[H],[H][O][C]([C]([O][C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([C]([H])([H])[H])=[C]([H])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H])[H],False,True,'g_{225}',images/mod_mol22.svg
g_{27},27,,[AE][S][C](=[O])[C]([C](=[O])[O][H])([H])[H],[AE][S][C](=[O])[C]([C](=[O])[O][H])([H])[H],False,False,'g_{226}',images/mod_mol23.svg
"p_{1,17}",182,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([O][C]([H])([H])[H])([H])[C]([O][H])([C]([C]([H])([H])[H])=[C]([H])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([O][C]([H])([H])[H])([H])[C]([O][H])([C]([C]([H])([H])[H])=[C]([H])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H])[H],False,True,'g_{227}',images/mod_mol24.svg
